Name,description,LON,LAT
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498964.00000000000000000000,-3778161.99999999953433871269
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498929.00000000186264514923,-3778150.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498920.00000000186264514923,-3778147.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498925.00000000000000000000,-3778141.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498927.00000000000000000000,-3778139.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498937.00000000000000000000,-3778135.00000000046566128731
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498947.99999999813735485077,-3778129.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498956.00000000186264514923,-3778121.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498959.00000000000000000000,-3778114.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498966.99999999813735485077,-3778109.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14498981.00000000000000000000,-3778105.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14499001.00000000186264514923,-3778101.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14499027.00000000186264514923,-3778093.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14499035.00000000000000000000,-3778088.00000000046566128731
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14499045.00000000186264514923,-3778085.00000000000000000000
"Directions from Capital City Trail, Fitzroy North VIC 3068, Australia to Merri Creek Trail, Northcote VIC 3070, Australia",,14499064.99999999813735485077,-3778072.00000000000000000000
