Name,description,LON,LAT
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508113.00000000000000000000,-3787791.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508187.00000000000000000000,-3787773.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508188.00000000186264514923,-3787771.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508188.99999999813735485077,-3787771.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508189.99999999813735485077,-3787769.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508191.00000000000000000000,-3787768.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508191.00000000000000000000,-3787766.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508193.00000000000000000000,-3787750.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508193.00000000000000000000,-3787749.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508193.00000000000000000000,-3787748.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508193.00000000000000000000,-3787747.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508200.00000000000000000000,-3787733.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508096.00000000000000000000,-3787712.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508022.00000000000000000000,-3787689.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508016.00000000000000000000,-3787686.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508035.00000000186264514923,-3787674.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508048.00000000000000000000,-3787666.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508051.00000000000000000000,-3787662.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508051.00000000000000000000,-3787659.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508042.00000000000000000000,-3787652.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508029.00000000000000000000,-3787639.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508026.00000000186264514923,-3787633.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508026.00000000186264514923,-3787630.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508455.00000000000000000000,-3787524.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508766.00000000000000000000,-3787449.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14508787.00000000186264514923,-3787502.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509079.00000000000000000000,-3787424.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509088.00000000000000000000,-3787447.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509090.00000000000000000000,-3787448.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509093.99999999813735485077,-3787448.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509098.00000000000000000000,-3787448.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509101.99999999813735485077,-3787448.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509108.00000000000000000000,-3787448.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509128.00000000186264514923,-3787447.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509156.99999999813735485077,-3787446.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509164.99999999813735485077,-3787445.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509168.00000000000000000000,-3787445.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509170.00000000000000000000,-3787442.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509173.00000000186264514923,-3787440.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509177.00000000000000000000,-3787440.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509180.00000000000000000000,-3787440.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509182.99999999813735485077,-3787439.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509186.00000000000000000000,-3787437.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509189.00000000000000000000,-3787437.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509191.99999999813735485077,-3787437.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509195.00000000000000000000,-3787436.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509196.00000000000000000000,-3787433.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509198.00000000000000000000,-3787431.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509200.99999999813735485077,-3787431.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509204.00000000000000000000,-3787431.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509212.00000000000000000000,-3787431.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509227.00000000186264514923,-3787430.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509249.00000000000000000000,-3787428.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509251.00000000000000000000,-3787428.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509274.00000000000000000000,-3787425.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509330.00000000000000000000,-3787421.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509406.00000000186264514923,-3787416.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509408.00000000000000000000,-3787416.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509410.00000000000000000000,-3787416.00000000046566128731
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509411.00000000000000000000,-3787417.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509414.00000000186264514923,-3787417.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509415.99999999813735485077,-3787417.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509447.00000000000000000000,-3787415.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509478.99999999813735485077,-3787412.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509513.99999999813735485077,-3787410.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509549.99999999813735485077,-3787408.00000000000000000000
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509585.99999999813735485077,-3787404.99999999953433871269
East Malvern Path/Shimmy to Dandenong Creek Trail,,14509653.00000000000000000000,-3787401.00000000000000000000
