Name,description,LON,LAT
Melbourne Cemetery Loop,,14496440.99999999813735485077,-3779285.99999999953433871269
Melbourne Cemetery Loop,,14496430.00000000000000000000,-3779282.00000000000000000000
Melbourne Cemetery Loop,,14496401.00000000000000000000,-3779266.00000000000000000000
Melbourne Cemetery Loop,,14496389.00000000000000000000,-3779255.00000000000000000000
Melbourne Cemetery Loop,,14496359.00000000186264514923,-3779237.00000000000000000000
Melbourne Cemetery Loop,,14496329.00000000000000000000,-3779220.99999999953433871269
Melbourne Cemetery Loop,,14496303.00000000000000000000,-3779210.00000000000000000000
Melbourne Cemetery Loop,,14496279.99999999813735485077,-3779202.99999999953433871269
Melbourne Cemetery Loop,,14496261.00000000186264514923,-3779198.00000000046566128731
Melbourne Cemetery Loop,,14496234.00000000186264514923,-3779193.00000000000000000000
Melbourne Cemetery Loop,,14496202.00000000000000000000,-3779189.00000000000000000000
Melbourne Cemetery Loop,,14496234.00000000186264514923,-3779193.00000000000000000000
Melbourne Cemetery Loop,,14496261.00000000186264514923,-3779198.00000000046566128731
Melbourne Cemetery Loop,,14496279.99999999813735485077,-3779202.99999999953433871269
Melbourne Cemetery Loop,,14496303.00000000000000000000,-3779210.00000000000000000000
Melbourne Cemetery Loop,,14496329.00000000000000000000,-3779220.99999999953433871269
Melbourne Cemetery Loop,,14496359.00000000186264514923,-3779237.00000000000000000000
Melbourne Cemetery Loop,,14496329.00000000000000000000,-3779220.99999999953433871269
Melbourne Cemetery Loop,,14496303.00000000000000000000,-3779210.00000000000000000000
Melbourne Cemetery Loop,,14496279.99999999813735485077,-3779202.99999999953433871269
Melbourne Cemetery Loop,,14496261.00000000186264514923,-3779198.00000000046566128731
Melbourne Cemetery Loop,,14496234.00000000186264514923,-3779193.00000000000000000000
Melbourne Cemetery Loop,,14496202.00000000000000000000,-3779189.00000000000000000000
Melbourne Cemetery Loop,,14496197.00000000000000000000,-3779188.00000000000000000000
Melbourne Cemetery Loop,,14496187.00000000000000000000,-3779187.00000000046566128731
Melbourne Cemetery Loop,,14496161.00000000000000000000,-3779186.00000000000000000000
Melbourne Cemetery Loop,,14496127.99999999813735485077,-3779180.00000000000000000000
Melbourne Cemetery Loop,,14496109.00000000186264514923,-3779175.99999999953433871269
Melbourne Cemetery Loop,,14496112.00000000000000000000,-3779166.00000000000000000000
Melbourne Cemetery Loop,,14496113.00000000000000000000,-3779162.00000000000000000000
Melbourne Cemetery Loop,,14496111.00000000000000000000,-3779153.00000000000000000000
Melbourne Cemetery Loop,,14496100.00000000186264514923,-3779150.00000000000000000000
Melbourne Cemetery Loop,,14496083.99999999813735485077,-3779140.00000000046566128731
Melbourne Cemetery Loop,,14496037.99999999813735485077,-3779107.00000000000000000000
Melbourne Cemetery Loop,,14496009.00000000000000000000,-3779081.00000000000000000000
Melbourne Cemetery Loop,,14495968.00000000000000000000,-3779022.00000000000000000000
Melbourne Cemetery Loop,,14495936.00000000000000000000,-3778958.99999999953433871269
Melbourne Cemetery Loop,,14495927.00000000000000000000,-3778931.99999999953433871269
Melbourne Cemetery Loop,,14495928.00000000000000000000,-3778911.00000000000000000000
Melbourne Cemetery Loop,,14495930.99999999813735485077,-3778895.00000000000000000000
Melbourne Cemetery Loop,,14495938.00000000186264514923,-3778844.00000000000000000000
Melbourne Cemetery Loop,,14495945.00000000000000000000,-3778777.00000000000000000000
Melbourne Cemetery Loop,,14495957.00000000186264514923,-3778687.99999999953433871269
Melbourne Cemetery Loop,,14495971.00000000000000000000,-3778585.00000000046566128731
Melbourne Cemetery Loop,,14495978.00000000000000000000,-3778508.99999999953433871269
Melbourne Cemetery Loop,,14495980.00000000000000000000,-3778494.00000000000000000000
Melbourne Cemetery Loop,,14495979.00000000000000000000,-3778479.99999999953433871269
Melbourne Cemetery Loop,,14495979.00000000000000000000,-3778475.00000000046566128731
Melbourne Cemetery Loop,,14496008.00000000000000000000,-3778477.00000000000000000000
Melbourne Cemetery Loop,,14496073.99999999813735485077,-3778481.00000000000000000000
Melbourne Cemetery Loop,,14496183.00000000000000000000,-3778488.00000000000000000000
Melbourne Cemetery Loop,,14496293.00000000000000000000,-3778495.00000000000000000000
Melbourne Cemetery Loop,,14496322.00000000000000000000,-3778497.99999999953433871269
Melbourne Cemetery Loop,,14496335.00000000000000000000,-3778501.00000000000000000000
Melbourne Cemetery Loop,,14496336.00000000000000000000,-3778496.00000000000000000000
Melbourne Cemetery Loop,,14496340.00000000000000000000,-3778492.00000000000000000000
Melbourne Cemetery Loop,,14496344.00000000000000000000,-3778488.00000000000000000000
Melbourne Cemetery Loop,,14496350.00000000186264514923,-3778487.00000000000000000000
Melbourne Cemetery Loop,,14496362.00000000000000000000,-3778487.00000000000000000000
Melbourne Cemetery Loop,,14496362.00000000000000000000,-3778488.99999999953433871269
Melbourne Cemetery Loop,,14496362.00000000000000000000,-3778491.00000000046566128731
Melbourne Cemetery Loop,,14496364.00000000000000000000,-3778492.00000000000000000000
Melbourne Cemetery Loop,,14496365.00000000000000000000,-3778492.00000000000000000000
Melbourne Cemetery Loop,,14496369.00000000186264514923,-3778493.00000000046566128731
Melbourne Cemetery Loop,,14496430.00000000000000000000,-3778497.99999999953433871269
Melbourne Cemetery Loop,,14496464.00000000000000000000,-3778501.00000000000000000000
Melbourne Cemetery Loop,,14496492.00000000000000000000,-3778505.00000000000000000000
Melbourne Cemetery Loop,,14496503.99999999813735485077,-3778506.00000000000000000000
Melbourne Cemetery Loop,,14496570.00000000000000000000,-3778512.00000000000000000000
Melbourne Cemetery Loop,,14496628.00000000186264514923,-3778517.00000000000000000000
Melbourne Cemetery Loop,,14496638.99999999813735485077,-3778517.00000000000000000000
Melbourne Cemetery Loop,,14496654.00000000000000000000,-3778519.00000000000000000000
Melbourne Cemetery Loop,,14496724.00000000000000000000,-3778526.99999999953433871269
Melbourne Cemetery Loop,,14496790.99999999813735485077,-3778534.00000000000000000000
Melbourne Cemetery Loop,,14496807.99999999813735485077,-3778535.99999999953433871269
Melbourne Cemetery Loop,,14496877.00000000000000000000,-3778542.00000000000000000000
Melbourne Cemetery Loop,,14496948.00000000000000000000,-3778549.00000000046566128731
Melbourne Cemetery Loop,,14496945.00000000000000000000,-3778566.00000000000000000000
Melbourne Cemetery Loop,,14496944.00000000000000000000,-3778573.99999999953433871269
Melbourne Cemetery Loop,,14496942.00000000186264514923,-3778581.00000000000000000000
Melbourne Cemetery Loop,,14496915.00000000186264514923,-3778728.00000000046566128731
Melbourne Cemetery Loop,,14496906.99999999813735485077,-3778783.00000000000000000000
Melbourne Cemetery Loop,,14496896.00000000186264514923,-3778848.00000000000000000000
Melbourne Cemetery Loop,,14496880.99999999813735485077,-3778937.00000000000000000000
Melbourne Cemetery Loop,,14496879.00000000186264514923,-3778949.00000000000000000000
Melbourne Cemetery Loop,,14496855.00000000000000000000,-3779086.00000000000000000000
Melbourne Cemetery Loop,,14496842.00000000000000000000,-3779168.00000000000000000000
Melbourne Cemetery Loop,,14496834.99999999813735485077,-3779211.00000000000000000000
Melbourne Cemetery Loop,,14496833.00000000000000000000,-3779219.00000000000000000000
The Avenue Royal Park Connectors,,14495212.00000000000000000000,-3778767.00000000000000000000
The Avenue Royal Park Connectors,,14495214.99999999813735485077,-3778761.99999999953433871269
The Avenue Royal Park Connectors,,14495227.00000000000000000000,-3778741.00000000000000000000
The Avenue Royal Park Connectors,,14495247.00000000000000000000,-3778712.00000000000000000000
The Avenue Royal Park Connectors,,14495259.99999999813735485077,-3778692.00000000000000000000
The Avenue Royal Park Connectors,,14495267.99999999813735485077,-3778681.00000000046566128731
The Avenue Royal Park Connectors,,14495279.00000000000000000000,-3778671.00000000000000000000
The Avenue Royal Park Connectors,,14495294.99999999813735485077,-3778663.00000000046566128731
The Avenue Royal Park Connectors,,14495302.00000000000000000000,-3778658.99999999953433871269
The Avenue Royal Park Connectors,,14495307.00000000000000000000,-3778654.00000000000000000000
The Avenue Royal Park Connectors,,14495313.99999999813735485077,-3778643.00000000046566128731
The Avenue Royal Park Connectors,,14495318.00000000000000000000,-3778636.00000000000000000000
The Avenue Royal Park Connectors,,14495324.00000000000000000000,-3778629.99999999953433871269
The Avenue Royal Park Connectors,,14495332.00000000000000000000,-3778623.00000000046566128731
The Avenue Royal Park Connectors,,14495335.00000000000000000000,-3778620.00000000000000000000
The Avenue Royal Park Connectors,,14495341.00000000000000000000,-3778616.00000000046566128731
The Avenue Royal Park Connectors,,14495350.00000000000000000000,-3778613.00000000000000000000
The Avenue Royal Park Connectors,,14495357.99999999813735485077,-3778611.00000000000000000000
The Avenue Royal Park Connectors,,14495366.99999999813735485077,-3778609.00000000000000000000
The Avenue Royal Park Connectors,,14495377.00000000000000000000,-3778605.00000000046566128731
The Avenue Royal Park Connectors,,14495387.00000000000000000000,-3778600.00000000000000000000
The Avenue Royal Park Connectors,,14495395.00000000000000000000,-3778593.00000000000000000000
The Avenue Royal Park Connectors,,14495404.00000000000000000000,-3778584.00000000000000000000
