Name,description,LON,LAT
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14508706.00000000000000000000,-3796937.00000000000000000000
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14508707.00000000186264514923,-3796929.99999999953433871269
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14508707.99999999813735485077,-3796920.99999999953433871269
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14508884.00000000000000000000,-3796943.00000000046566128731
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509032.00000000000000000000,-3796958.99999999953433871269
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509075.00000000186264514923,-3796964.00000000000000000000
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509128.00000000186264514923,-3796974.99999999953433871269
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509221.00000000000000000000,-3796985.99999999953433871269
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509236.00000000186264514923,-3796988.00000000046566128731
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509405.00000000186264514923,-3797009.00000000000000000000
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509605.00000000000000000000,-3797032.99999999953433871269
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509656.00000000186264514923,-3797039.00000000000000000000
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509681.00000000000000000000,-3797041.00000000000000000000
"Directions from 73 Grange Rd, Cheltenham VIC 3192, Australia to 285 Centre Dandenong Rd, Dingley Village VIC 3172, Australia",,14509890.99999999813735485077,-3797067.00000000000000000000
