Name,description,LON,LAT
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14494297.00000000000000000000,-3777591.00000000046566128731
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14494228.00000000186264514923,-3777582.00000000046566128731
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14494056.00000000000000000000,-3777561.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14494014.99999999813735485077,-3777555.00000000046566128731
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493994.00000000000000000000,-3777553.00000000046566128731
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493925.99999999813735485077,-3777545.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493906.00000000186264514923,-3777543.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493902.00000000000000000000,-3777537.00000000046566128731
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493901.00000000000000000000,-3777535.00000000046566128731
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493901.00000000000000000000,-3777532.99999999953433871269
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493900.00000000000000000000,-3777532.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493897.00000000186264514923,-3777530.99999999953433871269
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493888.99999999813735485077,-3777530.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493898.99999999813735485077,-3777454.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493900.00000000000000000000,-3777446.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493901.00000000000000000000,-3777441.00000000046566128731
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493877.00000000000000000000,-3777429.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493840.00000000000000000000,-3777412.00000000046566128731
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493834.00000000186264514923,-3777408.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493748.00000000000000000000,-3777366.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493745.99999999813735485077,-3777362.99999999953433871269
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493745.00000000186264514923,-3777360.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493744.00000000186264514923,-3777357.00000000000000000000
"Directions from 923 Park St, Brunswick West VIC 3055, Australia to Citylink, Moonee Ponds VIC 3039, Australia",,14493744.00000000186264514923,-3777353.00000000000000000000
