Name,description,LON,LAT
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499867.00000000000000000000,-3779614.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499866.00000000000000000000,-3779614.99999999953433871269
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499865.00000000000000000000,-3779616.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499866.00000000000000000000,-3779619.00000000046566128731
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499866.00000000000000000000,-3779625.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499866.00000000000000000000,-3779628.00000000046566128731
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499866.00000000000000000000,-3779631.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499867.00000000000000000000,-3779637.00000000046566128731
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499869.00000000186264514923,-3779639.00000000046566128731
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499872.00000000000000000000,-3779643.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499878.00000000186264514923,-3779647.00000000000000000000
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499881.00000000000000000000,-3779648.00000000046566128731
"Directions from 126-142 Trenerry Cres, Abbotsford VIC 3067, Australia to 155 Heidelberg Rd, Northcote VIC 3070, Australia",,14499886.00000000000000000000,-3779650.00000000000000000000
