Name,description,LON,LAT
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495211.00000000000000000000,-3776567.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495217.00000000000000000000,-3776568.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495230.00000000000000000000,-3776572.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495238.00000000000000000000,-3776572.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495257.00000000000000000000,-3776572.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495268.99999999813735485077,-3776576.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495281.00000000000000000000,-3776576.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495288.00000000000000000000,-3776576.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495289.00000000000000000000,-3776574.99999999953433871269
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495293.00000000000000000000,-3776581.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495294.99999999813735485077,-3776594.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495294.00000000186264514923,-3776605.00000000000000000000
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495294.99999999813735485077,-3776606.00000000046566128731
"Directions from 423 Victoria St, Brunswick VIC 3056, Australia to 1 Pottery Ct, Brunswick VIC 3056, Australia",,14495297.00000000000000000000,-3776608.00000000000000000000
